# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 364K of event 'cpu/cycles/P'
# Event count (approx.): 245777062108
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  .......................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] lru_gen_add_folio
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] smp_call_function_single_async
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _find_next_and_bit
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] uncharge_folio
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] clockevents_program_event
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] enqueue_hrtimer
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] add_interrupt_randomness
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_core_idle_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irq_exit_rcu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_next_groupevt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] folio_remove_rmap_ptes
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] folio_batch_move_lru
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_clock_noinstr
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __pkru_allows_pkey
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] nohz_balance_exit_idle
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] lru_gen_del_folio.constprop.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] xhci_irq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] pick_next_task_fair
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_trylock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irq_work_run_list
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] gen8_gt_irq_handler
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] free_frozen_page_commit.isra.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] error_return
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __folio_throttle_swaprate
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irq_enter_rcu
     0.00%  point_cloud_col  libc.so.6                [.] _int_free_chunk
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_sg_lb_stats
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] get_page_from_freelist
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] wakeup_preempt_fair
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] kthread_is_per_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] free_unref_folios
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] schedule
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] put_prev_task_fair
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __radix_tree_lookup
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] hid_input_fetch_field
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_handle_remote
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] pte_offset_map_lock
     0.00%  point_cloud_col  libstdc++.so.6.0.35      [.] free@plt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] x86_pmu_enable
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_balance_rq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __mod_zone_page_state
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] blk_cgroup_congested
     0.00%  point_cloud_col  libstdc++.so.6.0.35      [.] operator delete(void*)
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] lru_add
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] alloc_pages_mpol
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] try_to_wake_up
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] process_csb
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] execlists_engine_busyness
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __nr_to_section
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] calc_global_load_tick
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] folios_put_refs
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __vmf_anon_prepare
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] raw_spin_rq_lock_nested
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] apic_ack_edge
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __queue_work.part.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] timer_recalc_next_expiry
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] exc_page_fault
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __intel_context_retire
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] kick_pool
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] sched_balance_domains
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __resched_curr
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] irq_chip_ack_parent
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] kthread_blkcg
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] select_task_rq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] asm_exc_page_fault
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_load_avg
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] select_task_rq_fair
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] prepare_task_switch
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] fast_mix
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] task_h_load
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __enqueue_entity
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] rmqueue.isra.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __cgroup_account_cputime
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] swake_up_one
     0.00%  point_cloud_col  [unknown]                [.] 0000000000000000
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _find_next_bit
     0.00%  point_cloud_col  point_cloud_collimation  [.] operator new(unsigned long)@plt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] native_read_msr_safe
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] usb_hcd_giveback_urb
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] run_timer_softirq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] folio_add_lru
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] zap_pte_range
     0.00%  point_cloud_col  point_cloud_collimation  [.] void std::shuffle<__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(__gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, __gnu_cxx::__normal_iterator<Point*, std::vector<Point, std::allocator<Point> > >, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] os_xsave
     0.00%  point_cloud_col  libstdc++.so.6.0.35      [.] operator delete(void*, unsigned long)
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] gen8_de_irq_handler
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] memcpy_orig
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] hrtimer_start_range_ns
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] _raw_spin_unlock_irq
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __page_cache_release.part.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_update_events
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] raw_spin_rq_unlock
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] xhci_queue_bulk_tx
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] generic_exec_single
     0.00%  point_cloud_col  libc.so.6                [.] _int_free_maybe_trim
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] clear_pending_if_disabled
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] ep_poll_callback
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] tmigr_handle_remote_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] native_set_pte
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] set_ptes.isra.0
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] intel_engine_context_out
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] update_sd_pick_busiest
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] free_pcppages_bulk
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] p4d_offset
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __sysvec_irq_work
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] mksaveddirty_shift
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] arch_scale_cpu_capacity
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] pick_next_task
     0.00%  point_cloud_col  libstdc++.so.6.0.35      [.] operator delete(void*)@plt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] group_balance_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] __rb_insert_augmented
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] wq_select_unbound_cpu
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] vma_alloc_folio_noprof
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] set_next_task_rt
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] kfree
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] drm_clflush_virt_range
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] execlists_irq_handler
     0.00%  point_cloud_col  [kernel.kallsyms]        [k] migrate_task_rq_fair
