region,iteration,milliseconds
grid_index_construction,7,5.860253
profile_metrics,7,532.868517
nearest_neighbor_search,8,256.936035
estimate_transform,8,0.545454
grid_index_construction,8,5.629527
profile_metrics,8,522.557273
nearest_neighbor_search,9,257.160827
estimate_transform,9,0.705633
grid_index_construction,9,5.555140
profile_metrics,9,510.738631
nearest_neighbor_search,10,255.516222
estimate_transform,10,0.417189
grid_index_construction,10,5.675557
profile_metrics,10,496.914095
nearest_neighbor_search,11,249.024374
estimate_transform,11,0.438608
grid_index_construction,11,5.458102
profile_metrics,11,486.288256
nearest_neighbor_search,12,245.041463
estimate_transform,12,0.437547
grid_index_construction,12,5.909552
profile_metrics,12,477.677689
nearest_neighbor_search,13,233.788738
estimate_transform,13,0.546435
grid_index_construction,13,5.984379
profile_metrics,13,482.079693
nearest_neighbor_search,14,242.895536
estimate_transform,14,0.582266
grid_index_construction,14,5.748559
profile_metrics,14,473.470081
nearest_neighbor_search,15,235.303726
estimate_transform,15,0.482500
grid_index_construction,15,5.829758
profile_metrics,15,460.674934
nearest_neighbor_search,16,233.146413
estimate_transform,16,1.021267
grid_index_construction,16,5.891248
profile_metrics,16,449.536554
nearest_neighbor_search,17,227.320800
estimate_transform,17,0.422624
grid_index_construction,17,5.633660
profile_metrics,17,458.714900
nearest_neighbor_search,18,230.093741
estimate_transform,18,0.561333
grid_index_construction,18,5.540159
profile_metrics,18,442.563277
nearest_neighbor_search,19,230.043452
estimate_transform,19,1.097837
grid_index_construction,19,5.719340
profile_metrics,19,457.661761
nearest_neighbor_search,20,232.313041
estimate_transform,20,0.544955
grid_index_construction,20,5.552984
profile_metrics,20,474.691769
nearest_neighbor_search,21,241.888393
estimate_transform,21,0.455227
grid_index_construction,21,5.399839
profile_metrics,21,458.845912
nearest_neighbor_search,22,241.743897
estimate_transform,22,0.458645
grid_index_construction,22,5.283668
profile_metrics,22,456.640622
nearest_neighbor_search,23,242.717008
estimate_transform,23,0.702401
grid_index_construction,23,6.052351
profile_metrics,23,475.010050
nearest_neighbor_search,24,245.398677
estimate_transform,24,0.620742
grid_index_construction,24,6.060788
profile_metrics,24,467.721442
nearest_neighbor_search,25,252.784613
estimate_transform,25,0.530516
grid_index_construction,25,5.470572
profile_metrics,25,475.248360
nearest_neighbor_search,26,258.360001
estimate_transform,26,0.585182
grid_index_construction,26,5.435681
profile_metrics,26,480.969850
nearest_neighbor_search,27,251.368493
estimate_transform,27,0.449215
grid_index_construction,27,5.175753
profile_metrics,27,494.542705
nearest_neighbor_search,28,256.132325
estimate_transform,28,0.590383
grid_index_construction,28,5.517304
profile_metrics,28,475.934454
nearest_neighbor_search,29,263.447010
estimate_transform,29,0.611415
grid_index_construction,29,5.623216
profile_metrics,29,499.219614
nearest_neighbor_search,30,254.465433
estimate_transform,30,0.473112
grid_index_construction,30,5.321574
profile_metrics,30,484.411370
nearest_neighbor_search,31,250.755303
estimate_transform,31,0.486674
grid_index_construction,31,5.219803
profile_metrics,31,492.646947
nearest_neighbor_search,32,257.705781
estimate_transform,32,0.471366
grid_index_construction,32,6.074199
profile_metrics,32,492.699204
